InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Amount
INV101126,83543,Lipstick,4,2024-12-08,42.45,C00139,Germany,169.8
INV101459,93441,Candle,2,2024-06-25,1.62,C00440,France,3.24
INV100860,51786,Shoe,1,2024-05-18,2.91,C00327,France,2.91
INV101294,16737,Towel,5,2024-07-12,39.58,C00170,EIRE,197.89999999999998
INV101130,46062,Shoe,2,2024-07-04,20.92,C00039,United Kingdom,41.84
INV101095,64237,Brush,4,2024-08-05,28.51,C00069,United Kingdom,114.04
INV101724,61571,Bag,2,2024-06-12,5.7,C00236,Germany,11.4
INV101044,35510,Shoe,1,2024-06-09,16.4,C00048,Germany,16.4
INV101638,29426,Shirt,3,2024-01-13,27.73,C00381,EIRE,83.19
INV100121,47265,Shoe,3,2024-10-22,20.74,C00057,United Kingdom,62.22
INV100466,27850,Bag,4,2024-03-29,13.76,C00277,Germany,55.04
INV101238,76150,Perfume,4,2024-11-19,65.27,C00338,Germany,261.08
INV100330,97312,Candle,3,2024-02-11,23.55,C00099,United Kingdom,70.65
INV101482,99613,Towel,4,2024-07-28,48.67,C00404,France,194.68
INV100087,84910,Brush,2,2024-08-16,27.17,C00015,Germany,54.34
INV101396,62375,Candle,5,2024-12-15,27.6,C00325,United Kingdom,138.0
INV101123,45435,Shoe,5,2024-10-01,2.67,C00461,Germany,13.35
INV100871,67132,Lipstick,2,2024-10-05,9.91,C00179,EIRE,19.82
INV101687,88945,Candle,5,2024-09-07,40.09,C00332,Germany,200.45000000000002
INV100130,92050,Perfume,1,2024-11-05,6.3,C00062,United Kingdom,6.3
INV101685,12983,Shoe,2,2024-07-26,3.45,C00119,Germany,6.9
INV101332,30662,Towel,4,2024-11-16,8.89,C00469,EIRE,35.56
INV100769,33510,Bag,2,2024-05-19,5.98,C00037,EIRE,11.96
INV100343,88187,Perfume,3,2024-10-06,52.88,C00134,Germany,158.64000000000001
INV101515,50998,Shoe,4,2024-02-03,41.49,C00455,Germany,165.96
INV101437,66846,Perfume,3,2024-11-04,14.85,C00026,EIRE,44.55
INV100805,16640,Candle,4,2024-01-18,2.27,C00490,EIRE,9.08
INV100385,54547,Towel,5,2024-02-26,26.07,C00496,France,130.35
INV101215,64620,Bag,2,2024-04-21,20.53,C00008,France,41.06
INV100955,25317,Shoe,1,2024-01-05,71.5,C00457,EIRE,71.5
INV100276,17564,Shirt,4,2024-06-30,17.37,C00475,Germany,69.48
INV101184,37345,Brush,4,2024-01-13,9.2,C00004,United Kingdom,36.8
INV100459,89273,Bag,3,2024-12-04,15.64,C00021,Germany,46.92
INV101337,84859,Shirt,5,2024-10-11,78.52,C00415,Germany,392.59999999999997
INV100021,90765,Perfume,3,2024-09-15,24.84,C00149,France,74.52
INV100252,84038,Lipstick,3,2024-03-30,23.29,C00488,France,69.87
INV100747,62393,Bag,5,2024-04-13,6.51,C00025,France,32.55
INV100856,76081,Perfume,1,2024-07-04,28.22,C00487,EIRE,28.22
INV101584,39430,Shirt,3,2024-09-06,28.75,C00143,EIRE,86.25
INV100474,85532,Candle,3,2024-09-11,8.63,C00245,Germany,25.89
INV101082,37788,Candle,4,2024-03-16,14.22,C00419,Germany,56.88
INV100510,58543,Lipstick,5,2024-04-17,7.98,C00433,United Kingdom,39.900000000000006
INV101705,23919,Brush,2,2024-06-04,6.99,C00043,Germany,13.98
INV101499,79346,Bag,1,2024-03-22,1.52,C00425,Germany,1.52
INV100699,49974,Bag,1,2024-03-17,7.72,C00293,France,7.72
INV100975,26371,Bag,5,2024-09-14,17.15,C00185,France,85.75
INV101806,55084,Brush,4,2024-05-06,1.03,C00042,France,4.12
INV100189,39629,Perfume,4,2024-10-08,7.66,C00431,France,30.64
INV100957,61184,Towel,5,2024-03-28,43.64,C00092,France,218.2
INV100686,71916,Towel,4,2024-07-22,19.01,C00317,United Kingdom,76.04
INV100957,83972,Lipstick,1,2024-01-16,19.72,C00398,United Kingdom,19.72
INV100562,72187,Bag,1,2024-05-30,11.33,C00324,United Kingdom,11.33
INV101899,22984,Perfume,2,2024-09-10,23.57,C00053,France,47.14
INV101590,43039,Candle,5,2024-07-06,5.21,C00084,EIRE,26.05
INV101267,95431,Shirt,3,2024-11-24,35.16,C00034,France,105.47999999999999
INV100831,93691,Perfume,3,2024-02-01,3.48,C00076,France,10.44
INV101528,68606,Brush,2,2024-09-27,22.34,C00353,United Kingdom,44.68
INV101154,20616,Towel,2,2024-01-05,9.35,C00408,France,18.7
INV101508,60072,Towel,4,2024-11-25,28.53,C00404,United Kingdom,114.12
INV101842,34574,Candle,2,2024-11-03,16.96,C00197,France,33.92
INV100646,13430,Candle,2,2024-11-28,13.04,C00486,Germany,26.08
INV100020,22676,Brush,3,2024-06-17,4.71,C00286,EIRE,14.129999999999999
INV100840,20816,Shirt,4,2024-06-29,21.26,C00088,EIRE,85.04
INV100166,42733,Candle,2,2024-06-26,74.59,C00235,United Kingdom,149.18
INV101297,95680,Lipstick,2,2024-05-22,35.93,C00232,Germany,71.86
INV100387,12050,Shirt,4,2024-12-27,2.24,C00007,EIRE,8.96
INV100600,43933,Candle,5,2024-09-04,10.44,C00292,United Kingdom,52.199999999999996
INV100315,34951,Shoe,4,2024-05-06,52.96,C00038,France,211.84
INV100013,42413,Perfume,3,2024-09-19,14.99,C00464,France,44.97
INV100241,44801,Candle,5,2024-02-09,22.7,C00052,Germany,113.5
INV100776,65619,Lipstick,1,2024-12-20,49.75,C00143,EIRE,49.75
INV101369,42913,Bag,4,2024-09-11,42.4,C00430,France,169.6
INV100564,50600,Candle,3,2024-05-22,14.94,C00407,United Kingdom,44.82
INV100897,67775,Towel,5,2024-08-27,12.51,C00396,France,62.55
INV101363,45400,Towel,4,2024-08-15,9.3,C00221,France,37.2
INV100091,14494,Towel,2,2024-12-06,26.39,C00428,EIRE,52.78
INV101390,90688,Bag,4,2024-07-16,7.77,C00240,EIRE,31.08
INV100955,99431,Towel,1,2024-03-05,6.75,C00143,United Kingdom,6.75
INV101478,84691,Shoe,4,2024-01-11,9.81,C00349,Germany,39.24
